Lot Area,Neighborhood,Building Type,House Style,Overall Quality,Overall Condition,Year Built,Year Remodeled/Added,Unfinished Basement (SF),Central Air,1st Floor (SF),2nd Floor (SF),Above Ground Living Area (SF),Bedrooms,Kitchen Quality,Total Rooms,Garage Type,Garage Cars,Garage Area,Wood Deck (SF),Open Porch (SF),Enclosed Porch,Screen Porch,Year Sold,Sale Price,Total Bathrooms,Remodeled Y/N,Total Finished Basement (SF),Finished Basement/Abv Ground Living Area
8577,Gilbert,1Fam,2Story,7,5,2004,2004,847,Y,847,886,1733,3,Gd,7,BuiltIn,2,433,144,48,0,0,2010,185088,3,N,0,1733
7750,Gilbert,1Fam,SLvl,7,5,2000,2000,134,Y,774,656,1430,3,TA,7,BuiltIn,2,400,180,0,0,0,2010,180000,3,N,250,1680
9505,Gilbert,1Fam,2Story,7,5,2001,2001,884,Y,884,1151,2035,3,Gd,8,BuiltIn,2,434,144,48,0,0,2010,222500,3,N,0,2035
14774,NoRidge,1Fam,2Story,9,5,1999,1999,1393,Y,1422,1177,2599,4,Gd,10,BuiltIn,3,779,668,30,0,0,2010,333168,3,N,0,2599
17433,NoRidge,1Fam,2Story,8,5,1998,1998,1629,Y,1645,830,2475,4,Gd,7,Attchd,3,962,23,172,0,256,2010,355000,3,N,0,2475
10593,NoRidge,1Fam,1Story,7,5,1996,1996,801,Y,1720,0,1720,3,Gd,7,Attchd,2,527,240,56,154,0,2010,260400,3,N,919,2639
12256,NoRidge,1Fam,2Story,8,5,1994,1995,431,Y,1500,1122,2622,3,Gd,9,Attchd,2,712,186,32,0,0,2010,325000,4,Y,1032,3654
11764,NoRidge,1Fam,2Story,8,7,1999,2007,628,Y,1164,1106,2270,4,Gd,9,Attchd,3,671,132,57,0,0,2010,290000,3,Y,524,2794
16770,NoRidge,1Fam,2Story,7,5,1998,1998,1195,Y,1195,644,1839,4,TA,7,Attchd,2,486,0,81,0,0,2010,221000,3,N,0,1839
14720,NoRidge,1Fam,1.5Fin,8,5,1995,1996,1217,Y,2053,1185,3238,4,Gd,9,Attchd,3,666,283,86,0,0,2010,410000,4,Y,816,4054
8987,Somerst,1Fam,1Story,8,5,2005,2006,1595,Y,1595,0,1595,2,Gd,6,Attchd,3,880,144,0,0,0,2010,221500,2,Y,0,1595
9215,Somerst,1Fam,1Story,7,5,2009,2010,1218,Y,1218,0,1218,2,Gd,4,Attchd,2,676,0,136,0,0,2010,204500,2,Y,0,1218
8640,Somerst,1Fam,2Story,7,5,2009,2009,732,Y,764,783,1547,3,Gd,7,Attchd,2,614,169,45,0,0,2010,215200,3,N,24,1571
9000,Somerst,1Fam,1Story,8,5,2008,2008,488,Y,1566,0,1566,3,Gd,7,Attchd,2,750,144,168,0,0,2010,262500,3,N,1078,2644
12552,Somerst,1Fam,2Story,7,5,2004,2005,769,Y,991,956,1947,3,Gd,8,Attchd,2,678,0,136,0,0,2010,254900,3,Y,222,2169
10440,Somerst,1Fam,1Story,6,5,2005,2005,54,Y,1468,0,1468,2,Gd,6,Attchd,2,528,0,102,0,216,2010,271500,3,N,1414,2882
10142,SawyerW,1Fam,2Story,7,5,2004,2004,300,Y,956,1128,2084,4,Gd,8,BuiltIn,2,618,0,45,0,0,2010,233000,4,N,656,2740
11920,SawyerW,1Fam,2Story,7,5,2004,2004,831,Y,831,828,1659,3,Gd,8,Attchd,2,484,144,68,0,0,2010,181000,3,N,0,1659
8880,SawyerW,1Fam,2Story,7,5,1994,2002,253,Y,1222,888,2110,3,Gd,8,Attchd,2,463,0,130,0,0,2010,205000,4,Y,695,2805
8012,SawyerW,TwnhsE,1Story,6,5,1980,1980,261,Y,923,0,923,2,TA,5,Attchd,1,264,80,0,0,0,2010,143000,2,N,662,1585
11218,SawyerW,1Fam,2Story,6,5,1992,1992,1055,Y,1055,790,1845,3,Gd,8,Attchd,2,462,635,104,0,0,2010,189000,3,N,0,1845
7892,SawyerW,TwnhsE,1Story,6,5,1979,1979,918,Y,918,0,918,2,TA,5,Attchd,1,264,28,0,0,0,2010,99500,2,N,0,918
7175,SawyerW,TwnhsE,1Story,6,5,1984,1984,0,Y,752,0,752,2,TA,4,Attchd,1,264,353,0,0,90,2010,125000,2,N,744,1496
9453,SawyerW,1Fam,2Story,7,7,1993,2003,594,Y,1014,730,1744,3,Gd,7,Attchd,2,457,370,70,0,0,2010,194500,3,Y,402,2146
9672,SawyerW,1Fam,1Story,6,5,1984,1985,702,Y,1097,0,1097,3,TA,6,Attchd,2,480,0,0,0,0,2010,152000,2,Y,338,1435
8400,SawyerW,1Fam,2Story,6,6,1980,1981,650,Y,888,676,1564,3,TA,7,Attchd,2,476,0,50,0,204,2010,171000,3,Y,0,1564
9800,SawyerW,1Fam,1Story,5,5,1920,1950,816,N,1012,0,1012,2,TA,5,Detchd,1,429,121,0,80,0,2010,67500,1,Y,0,1012
8930,Sawyer,Duplex,1.5Fin,6,5,1978,1978,0,Y,1318,584,1902,4,TA,8,Attchd,2,539,0,0,0,0,2010,112000,2,N,0,1902
11782,Sawyer,1Fam,SFoyer,5,7,1961,1995,210,Y,1155,0,1155,3,Gd,6,Detchd,2,576,192,0,0,0,2010,148000,2,Y,899,2054
10603,NWAmes,1Fam,1Story,6,7,1977,2001,410,Y,1610,0,1610,3,Gd,6,Attchd,2,480,168,68,0,0,2010,205000,3,Y,1200,2810
9819,Sawyer,1Fam,1Story,5,5,1967,1967,432,Y,900,0,900,3,TA,5,Detchd,1,280,0,0,0,0,2010,122000,1,N,450,1350
7500,Sawyer,1Fam,1Story,5,5,1963,1963,216,Y,1040,0,1040,3,TA,5,Attchd,1,308,0,0,220,0,2010,133000,3,N,824,1864
9360,NWAmes,1Fam,1Story,6,7,1972,2006,179,Y,1381,0,1381,3,Gd,5,Attchd,2,676,0,0,0,0,2010,197500,3,Y,982,2363
15410,Sawyer,1Fam,1Story,6,6,1974,2002,223,Y,1494,0,1494,3,TA,7,Attchd,2,461,296,0,186,0,2010,169000,3,Y,985,2479
10186,NoRidge,1Fam,2Story,7,5,1992,1992,76,Y,1061,862,1923,3,Gd,8,Attchd,2,564,240,39,0,0,2010,190000,4,N,674,2597
13143,NoRidge,1Fam,2Story,8,5,1993,1993,0,Y,1251,1098,2349,4,Gd,9,Attchd,3,762,32,130,0,0,2010,362500,4,N,1231,3580
11134,NoRidge,1Fam,2Story,8,5,1992,1993,261,Y,1402,823,2225,4,Gd,7,Attchd,3,713,198,30,0,0,2010,285000,4,Y,1129,3354
4835,Somerst,TwnhsE,1Story,7,5,2004,2005,190,Y,1488,0,1488,2,Gd,6,Attchd,2,506,168,50,0,0,2010,260000,3,Y,1298,2786
3515,Somerst,TwnhsE,2Story,7,5,2004,2004,840,Y,840,840,1680,2,Gd,3,Attchd,2,588,0,111,0,0,2010,190000,3,N,0,1680
3215,Somerst,TwnhsE,2Story,7,5,2004,2004,320,Y,600,600,1200,2,Gd,4,Detchd,2,480,0,172,0,0,2010,155000,3,N,280,1480
3182,Somerst,TwnhsE,2Story,7,5,2004,2005,600,Y,600,600,1200,2,Gd,4,Detchd,2,480,0,172,0,0,2010,151000,3,Y,0,1200
2544,Somerst,Twnhs,2Story,7,5,2004,2005,190,Y,600,600,1200,2,Gd,4,Detchd,2,480,0,172,0,0,2010,149500,4,Y,410,1610
2544,Somerst,Twnhs,2Story,6,5,2005,2005,224,Y,600,636,1236,2,Gd,4,Detchd,2,480,0,166,0,0,2010,152000,4,N,376,1612
4403,Somerst,1Fam,1Story,7,5,2009,2009,892,Y,1478,0,1478,2,Gd,7,Attchd,2,484,0,144,0,0,2010,222000,4,N,578,2056
2117,Somerst,Twnhs,2Story,6,5,2000,2000,378,Y,769,804,1573,3,Gd,5,Detchd,2,440,0,32,0,0,2010,177500,3,N,378,1951
2980,Somerst,TwnhsE,2Story,6,5,2000,2000,290,Y,756,756,1512,2,Gd,5,Detchd,2,440,0,32,0,0,2010,177000,4,N,466,1978
2572,Somerst,Twnhs,2Story,7,5,1999,1999,92,Y,696,720,1416,3,Gd,6,Detchd,2,484,0,44,0,0,2010,155000,4,N,604,2020
2403,Somerst,TwnhsE,2Story,7,5,2003,2003,286,Y,530,550,1080,2,Gd,4,Attchd,2,496,0,50,0,0,2010,147110,3,N,244,1324
12853,Somerst,1Fam,1Story,8,5,2010,2010,610,Y,1418,0,1418,1,Gd,6,Attchd,3,852,160,192,0,0,2010,267916,3,N,1032,2450
7379,Somerst,1Fam,2Story,8,5,2000,2000,491,Y,975,873,1848,3,Gd,7,Attchd,2,592,280,184,0,0,2010,254000,4,N,484,2332
4420,Greens,TwnhsE,1Story,8,5,1980,1980,0,Y,788,0,788,1,Gd,3,Detchd,2,484,133,42,0,0,2010,155000,2,N,728,1516
3880,Greens,Twnhs,1Story,8,6,1978,1978,174,Y,1226,0,1226,1,Gd,4,Attchd,2,484,223,78,0,0,2010,206000,2,N,1052,2278
14112,NAmes,1Fam,SLvl,5,7,1964,1964,138,Y,1152,0,1152,3,TA,6,Attchd,2,484,227,0,0,0,2010,180500,2,N,1014,2166
8000,Somerst,1Fam,1Story,7,5,2002,2002,659,Y,1492,0,1492,3,Gd,6,Attchd,2,596,277,137,0,0,2010,230000,3,N,833,2325
10456,NWAmes,1Fam,1Story,6,6,1967,1967,1323,Y,1829,0,1829,4,TA,8,Attchd,2,535,0,76,0,0,2010,218500,3,N,506,2335
10791,NWAmes,1Fam,2Story,6,5,1993,1993,143,Y,1280,1215,2495,4,Gd,9,Attchd,2,660,224,32,0,0,2010,243500,4,N,1137,3632
8800,NAmes,1Fam,SFoyer,6,7,1963,1963,173,Y,1054,0,1054,3,Gd,6,Attchd,2,480,120,0,0,0,2010,137500,2,N,763,1817
18837,NWAmes,1Fam,1.5Fin,6,5,1978,1978,491,Y,1287,604,1891,3,TA,7,Attchd,2,678,0,69,0,0,2010,212500,4,N,733,2624
10421,NWAmes,1Fam,2Story,7,5,1988,1988,586,Y,980,734,1714,3,TA,7,Attchd,2,496,228,66,156,0,2010,196500,3,N,394,2108
9724,NAmes,1Fam,1.5Fin,5,7,1952,2002,470,Y,1929,532,2461,3,TA,7,Detchd,2,400,0,0,0,0,2010,197600,2,Y,670,3131
9600,NWAmes,1Fam,2Story,6,6,1971,1971,386,Y,930,715,1645,4,TA,7,Attchd,2,441,0,78,0,0,2010,171000,3,N,329,1974
9600,NAmes,1Fam,1Story,5,5,1966,1966,534,Y,1232,0,1232,3,TA,6,Attchd,2,490,0,224,0,0,2010,142250,3,N,698,1930
9790,NWAmes,1Fam,1Story,6,5,1963,1963,678,Y,1328,0,1328,3,TA,6,Attchd,2,528,0,26,0,0,2010,143000,3,N,650,1978
9320,NAmes,1Fam,1Story,4,5,1959,1959,381,Y,1225,0,1225,3,TA,6,0,0,0,352,0,0,0,2010,128950,3,N,569,1794
9900,NAmes,1Fam,1Story,5,5,1966,1966,150,Y,1209,0,1209,3,TA,6,Attchd,2,504,0,0,120,0,2010,159000,2,N,1059,2268
9680,NAmes,1Fam,1Story,5,6,1967,1967,500,Y,1510,0,1510,3,Gd,6,Attchd,2,517,0,40,0,204,2010,178900,3,N,1010,2520
10600,NAmes,1Fam,SLvl,6,5,1964,1964,533,Y,1131,644,1775,3,TA,8,Attchd,2,480,0,172,0,0,2010,136300,2,N,0,1775
7207,BrkSide,1Fam,1Story,5,7,1958,2008,162,Y,858,0,858,2,TA,4,0,0,0,117,0,0,0,2010,116500,2,Y,696,1554
10950,NAmes,1Fam,1Story,5,7,1952,1952,525,Y,1064,0,1064,2,Fa,4,Detchd,1,318,0,0,0,0,2010,135000,2,N,339,1403
13260,NAmes,Duplex,1Story,5,6,1962,2001,228,Y,1728,0,1728,6,TA,10,0,0,0,0,0,0,0,2010,84900,4,Y,1500,3228
9717,NAmes,1Fam,1Story,5,6,1950,1996,0,Y,1078,0,1078,2,Gd,5,Attchd,1,240,366,0,112,0,2010,142125,2,Y,1078,2156
7922,NAmes,1Fam,1Story,5,7,1953,2007,326,Y,1057,0,1057,3,Gd,5,Detchd,1,246,0,52,0,0,2010,109000,2,Y,731,1788
17360,NAmes,1Fam,1.5Fin,6,6,1949,1950,482,Y,1019,537,1556,3,TA,6,Attchd,2,470,0,0,150,0,2010,172500,2,Y,300,1856
7898,NAmes,1Fam,1Story,4,7,1920,1994,576,Y,985,0,985,2,TA,4,Detchd,2,676,0,0,0,0,2010,105000,2,Y,0,985
5350,BrkSide,1Fam,1Story,3,2,1940,1966,728,Y,1306,0,1306,3,Fa,6,0,0,0,263,0,0,0,2010,76500,1,Y,0,1306
9920,NAmes,1Fam,1Story,5,5,1954,1954,412,Y,1063,0,1063,3,TA,6,Attchd,1,280,0,0,164,0,2010,128000,2,N,644,1707
9600,NAmes,1Fam,SLvl,6,6,1955,1972,350,Y,1520,0,1520,3,TA,7,Basment,1,364,0,0,189,0,2010,153000,2,Y,806,2326
7800,NAmes,1Fam,1Story,5,6,1954,1954,728,Y,1268,0,1268,2,TA,7,Attchd,1,244,0,98,0,0,2010,132000,1,N,540,1808
7200,NAmes,1Fam,1Story,5,7,1955,2007,0,Y,827,0,827,2,TA,5,Detchd,1,392,0,0,0,0,2010,107500,1,Y,0,827
11600,NAmes,Duplex,2Story,5,5,1960,1960,662,Y,1105,1169,2274,5,TA,12,Detchd,2,480,0,0,0,0,2010,154300,2,N,443,2717
19900,NAmes,1Fam,1Story,7,5,1970,1989,1035,Y,2207,0,2207,3,TA,7,Attchd,2,576,301,0,0,0,2010,180000,3,Y,912,3119
16492,NAmes,1Fam,1Story,6,6,1966,2002,557,Y,1888,0,1888,2,Gd,6,Attchd,2,578,0,0,0,0,2010,190000,3,Y,960,2848
8267,NAmes,Duplex,1Story,5,5,1958,1958,1604,Y,1604,0,1604,4,TA,8,Attchd,2,576,42,0,0,0,2010,135000,2,N,0,1604
8197,NAmes,1Fam,1Story,7,5,2003,2009,292,Y,1480,0,1480,3,Gd,7,Attchd,2,620,252,73,0,0,2010,214000,3,Y,1188,2668
8050,NAmes,1Fam,1Story,5,5,1959,1959,125,Y,1143,0,1143,3,TA,6,Attchd,1,308,0,0,0,0,2010,136000,2,N,1018,2161
10552,NAmes,1Fam,1Story,5,5,1959,1959,380,Y,1700,0,1700,4,Gd,6,Attchd,2,447,0,38,0,0,2010,165500,3,N,1018,2718
8400,NAmes,1Fam,1Story,5,6,1957,1957,392,Y,1314,0,1314,3,TA,5,Attchd,1,294,250,0,0,0,2010,145000,2,N,922,2236
8760,NAmes,1Fam,1Story,6,6,1959,1959,1194,Y,1194,0,1194,3,TA,6,Attchd,1,312,0,0,120,0,2010,148000,2,N,0,1194
12160,NAmes,1Fam,1Story,5,5,1959,1959,188,Y,1188,0,1188,3,TA,6,Attchd,2,531,0,0,0,0,2010,142000,2,N,1000,2188
9300,NAmes,1Fam,1Story,5,5,1960,1960,571,Y,1264,0,1264,3,TA,6,Attchd,2,461,0,0,0,143,2010,167500,2,N,697,1961
10725,NAmes,1Fam,1Story,5,5,1959,1959,270,Y,1206,0,1206,3,TA,6,Attchd,1,312,0,21,0,0,2010,108538,1,N,936,2142
10032,NAmes,1Fam,1Story,6,5,1959,1959,510,Y,1580,0,1580,3,TA,6,Attchd,2,440,0,28,0,160,2010,159500,3,N,734,2314
8382,NAmes,1Fam,1.5Fin,4,5,1956,1956,832,Y,832,505,1337,3,TA,5,Attchd,1,263,0,0,0,0,2010,108000,1,N,0,1337
10200,NAmes,1Fam,1Story,5,7,1954,2003,404,Y,1086,0,1086,3,TA,6,Attchd,2,490,0,0,0,0,2010,144900,2,Y,682,1768
10895,NAmes,1Fam,1Story,5,6,1955,1955,324,Y,972,0,972,3,TA,5,Attchd,1,305,0,0,205,0,2010,122500,1,N,648,1620
13587,NAmes,2fmCon,1Story,5,5,1958,1958,456,Y,988,0,988,2,TA,5,Attchd,1,264,0,0,0,0,2010,119000,2,N,532,1520
5868,NAmes,1Fam,1Story,5,7,1956,2000,448,Y,936,0,936,2,TA,4,Attchd,1,308,0,0,80,160,2010,129000,2,Y,488,1424
9830,NAmes,1Fam,1Story,5,7,1959,2006,733,Y,1287,0,1287,3,Gd,7,Detchd,2,576,364,17,0,182,2010,162000,2,Y,330,1617
11275,NAmes,1Fam,SLvl,7,7,1967,2007,710,Y,1898,1080,2978,5,Gd,11,BuiltIn,2,564,240,0,0,0,2010,242000,3,Y,0,2978
7500,NAmes,1Fam,1Story,5,7,1959,1994,0,Y,1246,0,1246,3,Gd,6,Attchd,1,305,218,0,0,0,2010,154000,3,Y,1246,2492
7200,NAmes,1Fam,1Story,5,7,1951,2000,180,Y,900,0,900,3,Gd,5,Detchd,2,576,222,32,0,0,2010,134800,2,Y,720,1620
17503,NAmes,1Fam,1.5Fin,6,5,1948,1950,912,Y,912,546,1458,3,TA,6,Attchd,1,330,192,0,0,0,2010,97500,2,Y,0,1458
6979,OldTown,Duplex,SFoyer,6,5,1980,1980,0,Y,1056,0,1056,0,TA,4,Detchd,2,576,264,56,0,0,2010,144000,2,N,1056,2112
9760,NAmes,1Fam,1Story,6,7,1963,1984,415,Y,1395,0,1395,2,TA,7,Attchd,2,440,657,0,113,240,2010,192000,2,Y,980,2375
8800,OldTown,1Fam,1.5Fin,4,7,1910,2004,576,Y,792,348,1140,3,TA,7,0,0,0,0,160,0,0,2010,96500,1,Y,0,1140
4485,OldTown,1Fam,1Story,5,7,1920,1950,357,Y,936,0,936,2,TA,5,0,0,0,51,0,135,0,2010,109500,2,Y,579,1515
5805,OldTown,1Fam,1Story,5,7,1957,1957,0,Y,1347,0,1347,3,Gd,6,Detchd,2,551,0,0,0,0,2010,143000,3,N,1347,2694
8520,NAmes,1Fam,1.5Fin,5,4,1952,1952,403,Y,910,475,1385,4,TA,6,Detchd,2,720,0,0,0,0,2010,166000,2,N,507,1892
7200,OldTown,1Fam,1Story,5,7,1940,1992,278,Y,804,0,804,2,Gd,4,Attchd,1,240,0,0,154,0,2010,119000,2,Y,510,1314
10000,NAmes,1Fam,1Story,6,6,1962,1962,1116,Y,1116,0,1116,3,TA,5,Attchd,2,440,0,0,0,385,2010,160000,2,N,0,1116
7635,NAmes,1Fam,1Story,5,6,1960,1960,237,Y,1175,0,1175,3,TA,6,Detchd,2,484,0,0,0,0,2010,148000,2,N,938,2113
